Wall time,Step,Value
1700372675.0294507,1,4.073910713195801
1700372707.3870184,2,3.5836501121520996
1700372740.212602,3,3.255215644836426
1700372772.8363419,4,2.935875654220581
1700372805.981869,5,2.6392288208007812
1700372838.8226082,6,2.426382303237915
1700372871.8672426,7,2.2575628757476807
1700372905.3268495,8,2.130945920944214
1700372938.8561406,9,2.0304088592529297
1700372972.0709698,10,1.9542580842971802
1700373005.242787,11,1.8991211652755737
1700373038.6616042,12,1.8360035419464111
1700373071.5487192,13,1.7925032377243042
1700373104.2051651,14,1.7541346549987793
1700373136.9014895,15,1.7240813970565796
1700373169.486243,16,1.6943155527114868
1700373202.1772733,17,1.6589202880859375
1700373235.098211,18,1.6424146890640259
1700373267.822598,19,1.6180641651153564
1700373300.554681,20,1.5945206880569458
1700373333.248265,21,1.5666662454605103
1700373365.964826,22,1.5727490186691284
1700373398.7697222,23,1.550377607345581
1700373431.607227,24,1.5356756448745728
1700373464.2703693,25,1.516494870185852
1700373497.0195913,26,1.5102261304855347
1700373529.7945697,27,1.5013782978057861
1700373562.9193876,28,1.4918169975280762
1700373596.1129367,29,1.4853417873382568
1700373629.508483,30,1.4674850702285767
1700373663.5598578,31,1.4555912017822266
1700373696.9973204,32,1.4577192068099976
1700373730.5140464,33,1.4398037195205688
1700373763.8993301,34,1.1162530183792114
1700373797.3529449,35,1.061647891998291
1700373830.8550208,36,1.043111801147461
1700373864.5400503,37,1.044473648071289
1700373898.1988127,38,1.048413872718811
1700373931.1731482,39,1.0492751598358154
1700373964.0945032,40,1.053570032119751
1700373997.567102,41,1.0343904495239258
1700374031.4363008,42,1.049424409866333
1700374065.273522,43,1.0280802249908447
1700374099.509641,44,1.0275466442108154
1700374133.2277677,45,1.0140283107757568
1700374166.6306121,46,1.0145782232284546
1700374200.0073612,47,0.7432273030281067
1700374233.4977458,48,0.6551403403282166
1700374267.0979536,49,0.6300675868988037
1700374301.0337408,50,0.6326283812522888
1700374334.6373658,51,0.6182472705841064
1700374367.9908,52,0.629462480545044
1700374401.167579,53,0.6274883151054382
1700374434.1559255,54,0.6239323616027832
1700374467.313128,55,0.619269073009491
1700374500.5148122,56,0.6133358478546143
1700374533.7646575,57,0.6159061789512634
1700374566.851696,58,0.6237553954124451
1700374599.8599718,59,0.4264069199562073
1700374632.9871547,60,0.35991305112838745
1700374666.193728,61,0.33627110719680786
1700374699.211966,62,0.3190663158893585
1700374732.480131,63,0.3138694167137146
1700374765.4729314,64,0.3100413978099823
1700374798.609369,65,0.3021993637084961
1700374831.651993,66,0.3073423504829407
1700374864.7291896,67,0.31324294209480286
1700374897.770707,68,0.29827210307121277
1700374930.8199377,69,0.29795563220977783
1700374963.9134078,70,0.3083408772945404
1700374997.376602,71,0.2133469134569168
1700375030.635512,72,0.18023592233657837
1700375064.6787293,73,0.1737680286169052
1700375097.9445145,74,0.16357125341892242
1700375131.202491,75,0.16080033779144287
1700375164.7712245,76,0.1527542620897293
1700375197.8495023,77,0.1503428965806961
1700375231.10953,78,0.14180241525173187
1700375264.4328647,79,0.14374367892742157
1700375297.7045887,80,0.14213339984416962
1700375330.9148793,81,0.14197133481502533
1700375364.4233987,82,0.13970862329006195
